,block_state_geography_2010.geom,block_state_geography_2010_centroid,block_state_housingoccupancytenure_2010.geoid10,block_state_housingoccupancytenure_2010.h00010001,block_state_housingoccupancytenure_2010.h0030001,block_state_housingoccupancytenure_2010.h0030002,block_state_housingoccupancytenure_2010.h0030003,block_state_housingoccupancytenure_2010.h0040001,block_state_housingoccupancytenure_2010.h0040002,block_state_housingoccupancytenure_2010.h0040003,block_state_housingoccupancytenure_2010.h0040004,block_state_housingoccupancytenure_2010.h0190001,block_state_housingoccupancytenure_2010.h0190002,block_state_housingoccupancytenure_2010.h0190003,block_state_housingoccupancytenure_2010.h0190004,block_state_housingoccupancytenure_2010.h0190005,block_state_housingoccupancytenure_2010.h0190006,block_state_housingoccupancytenure_2010.h0190007
10,"MULTIPOLYGON(((-105.090895 39.724081,-105.090895 39.724096,-105.090867 39.724086,-105.090823 39.724077,-105.09041 39.724154,-105.090254 39.724143,-105.090147 39.724116,-105.089898 39.723995,-105.089727 39.723984,-105.089407 39.724039,-105.089223 39.72405,-105.089002 39.723973,-105.088689 39.723754,-105.088523 39.723701,-105.088497 39.723693,-105.088258 39.72367,-105.088098 39.723655,-105.087593 39.723628,-105.087472 39.723605,-105.087138 39.72354,-105.086918 39.72348,-105.086683 39.723441,-105.086441 39.723359,-105.086386 39.72333,-105.086387 39.723308,-105.086377 39.722147,-105.086956 39.722138,-105.087472 39.72214,-105.088254 39.722128,-105.088573 39.722122,-105.089496 39.722119,-105.090887 39.722122,-105.090889 39.722253,-105.090895 39.724081)))",POINT(-105.08883082228 39.7229829569666),080590112021007,31,31,30,1,30,21,9,0,30,30,5,25,0,0,0
11,"MULTIPOLYGON(((-105.057875 39.569466,-105.057616 39.569811,-105.057571 39.569814,-105.057472 39.570011,-105.057015 39.570915,-105.056799 39.57132,-105.057256 39.56992,-105.057356 39.569816,-105.057597 39.569448,-105.057732 39.569311,-105.057888 39.569036,-105.058023 39.568921,-105.058094 39.56874,-105.058484 39.568015,-105.058851 39.567183,-105.059104 39.567184,-105.059062 39.568045,-105.05875 39.568497,-105.057875 39.569466)))",POINT(-105.058252838527 39.5687301482476),080590120532021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"MULTIPOLYGON(((-105.135758 39.62519,-105.135425 39.625194,-105.13475 39.625226,-105.134296 39.625248,-105.133415 39.625121,-105.132954 39.625121,-105.132364 39.625137,-105.132009 39.625187,-105.131661 39.625247,-105.131185 39.625241,-105.130787 39.625186,-105.130091 39.62523,-105.129443 39.625216,-105.130377 39.624135,-105.131696 39.624107,-105.133454 39.624137,-105.133844 39.624137,-105.135761 39.624138,-105.137681 39.624126,-105.137693 39.625212,-105.137385 39.625215,-105.137144 39.625217,-105.136889 39.625216,-105.136803 39.625209,-105.136249 39.625167,-105.135873 39.625189,-105.135758 39.62519)))",POINT(-105.133784976293 39.6246738442208),080590120391012,8,8,8,0,8,7,1,0,8,8,3,5,0,0,0
13,"MULTIPOLYGON(((-105.092889 39.868241,-105.092721 39.868049,-105.092577 39.867956,-105.093111 39.867183,-105.093571 39.867415,-105.094078 39.867694,-105.094509 39.867926,-105.094787 39.868047,-105.095121 39.86814,-105.095504 39.868223,-105.095963 39.86831,-105.096555 39.868334,-105.096776 39.868359,-105.096921 39.868458,-105.097123 39.868653,-105.097461 39.868951,-105.097967 39.869434,-105.097024 39.870043,-105.096835 39.870189,-105.096658 39.870369,-105.096094 39.870124,-105.095741 39.869972,-105.095312 39.869678,-105.095066 39.869483,-105.094897 39.869374,-105.094587 39.869227,-105.093879 39.86907,-105.093688 39.869,-105.09348 39.868908,-105.093305 39.868753,-105.093052 39.868449,-105.092889 39.868241)))",POINT(-105.09528807025 39.8688243916668),080590098282014,61,61,60,1,60,51,5,4,60,56,27,29,4,2,2
14,"MULTIPOLYGON(((-105.225192 39.766583,-105.226054 39.767393,-105.226687 39.768217,-105.226744 39.768305,-105.226712 39.768396,-105.226626 39.768462,-105.226411 39.768494,-105.226147 39.76846,-105.225967 39.768401,-105.225751 39.768138,-105.224566 39.766803,-105.225192 39.766583)))",POINT(-105.225697900551 39.7675650594572),080590098433081,14,14,14,0,14,12,1,1,14,13,5,8,1,0,1
15,"MULTIPOLYGON(((-105.066263 39.868591,-105.066089 39.868599,-105.065712 39.868627,-105.065341 39.868676,-105.064856 39.868786,-105.064728 39.86883,-105.064471 39.868984,-105.064379 39.869083,-105.064329 39.869181,-105.064222 39.869566,-105.064108 39.869945,-105.064094 39.870016,-105.064022 39.870214,-105.064008 39.870247,-105.063915 39.870346,-105.063823 39.87039,-105.063367 39.870516,-105.062775 39.870544,-105.062533 39.870533,-105.062432 39.870539,-105.062435 39.870524,-105.062445 39.870358,-105.062458 39.870137,-105.062475 39.869835,-105.062503 39.868978,-105.063101 39.868988,-105.063567 39.868984,-105.063675 39.86897,-105.063847 39.868912,-105.063948 39.868866,-105.064783 39.868259,-105.065135 39.868019,-105.065341 39.867918,-105.065528 39.867851,-105.065587 39.867825,-105.065729 39.867814,-105.065995 39.867817,-105.066357 39.867845,-105.066324 39.868147,-105.066263 39.868591)))",POINT(-105.064045113019 39.8692243406878),080590098273006,10,10,10,0,10,9,0,1,10,9,6,3,1,0,1
16,"MULTIPOLYGON(((-105.316855 39.544263,-105.316526 39.544295,-105.31627 39.543983,-105.315853 39.543497,-105.315647 39.5433,-105.315491 39.543107,-105.315423 39.542983,-105.315317 39.542811,-105.315165 39.542455,-105.314939 39.541877,-105.314787 39.541397,-105.31469 39.541133,-105.314446 39.540633,-105.314298 39.540231,-105.314141 39.539628,-105.313872 39.538665,-105.313766 39.538359,-105.313683 39.53807,-105.313636 39.537886,-105.313571 39.537527,-105.313515 39.537266,-105.313404 39.536984,-105.313124 39.536561,-105.312169 39.535449,-105.312249 39.535366,-105.312274 39.535338,-105.312311 39.535415,-105.31275 39.535849,-105.313595 39.53687,-105.313751 39.537145,-105.314198 39.538815,-105.314191 39.539035,-105.314389 39.539221,-105.314616 39.539501,-105.31456 39.539743,-105.314595 39.539847,-105.314715 39.540029,-105.314872 39.540188,-105.315241 39.540485,-105.315361 39.540726,-105.315397 39.540996,-105.315404 39.541237,-105.315439 39.541523,-105.315425 39.541737,-105.31551 39.541896,-105.315602 39.541973,-105.315581 39.542144,-105.315773 39.542468,-105.31578 39.542753,-105.315844 39.542984,-105.31595 39.543176,-105.316489 39.543879,-105.316759 39.544137,-105.316855 39.544263)))",POINT(-105.314728616843 39.5404315584648),080590120321029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,"MULTIPOLYGON(((-105.378087 39.414107,-105.378243 39.414188,-105.378305 39.414142,-105.378336 39.414147,-105.378457 39.414181,-105.378631 39.414321,-105.378851 39.414573,-105.379278 39.415013,-105.37973 39.415285,-105.379843 39.415359,-105.379999 39.415468,-105.380272 39.415533,-105.380572 39.415927,-105.381054 39.41589,-105.381134 39.416003,-105.381372 39.41622,-105.381837 39.416208,-105.382062 39.41607,-105.382511 39.415894,-105.383072 39.415845,-105.383401 39.415652,-105.383615 39.4155,-105.383883 39.415484,-105.384663 39.415768,-105.384594 39.415819,-105.384554 39.415822,-105.38423 39.415659,-105.383782 39.415595,-105.383436 39.415761,-105.382809 39.416069,-105.382246 39.416273,-105.381657 39.416363,-105.381411 39.416353,-105.381209 39.416337,-105.380658 39.416184,-105.379737 39.415761,-105.378687 39.414904,-105.378087 39.414107)))",POINT(-105.380588835288 39.4155487691661),080590120583037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,"MULTIPOLYGON(((-105.19854 39.679128,-105.198424 39.679321,-105.19828 39.679505,-105.1981 39.679654,-105.197828 39.679793,-105.197744 39.679829,-105.196857 39.679566,-105.196321 39.678957,-105.196042 39.67858,-105.195744 39.678231,-105.195436 39.677886,-105.195063 39.67738,-105.194689 39.676748,-105.194561 39.676429,-105.194479 39.676147,-105.194367 39.67551,-105.194218 39.674348,-105.194112 39.673684,-105.194012 39.673325,-105.193912 39.672706,-105.193862 39.6715,-105.194163 39.671417,-105.194237 39.671371,-105.194706 39.67108,-105.194876 39.670975,-105.196059 39.670237,-105.196352 39.670054,-105.196612 39.669823,-105.196944 39.6694,-105.197417 39.668757,-105.197901 39.668113,-105.198039 39.668458,-105.198177 39.668744,-105.198358 39.668891,-105.198667 39.669011,-105.199048 39.669147,-105.199281 39.669242,-105.199528 39.669403,-105.199819 39.669652,-105.199971 39.669879,-105.200154 39.670408,-105.200307 39.671039,-105.200513 39.671545,-105.200757 39.672162,-105.20083 39.672683,-105.200845 39.673109,-105.200984 39.673199,-105.201158 39.673172,-105.201345 39.67298,-105.201613 39.6726,-105.202028 39.673707,-105.202092 39.673878,-105.202255 39.674252,-105.202453 39.674517,-105.202659 39.674857,-105.202716 39.675224,-105.202719 39.675241,-105.202693 39.675594,-105.202537 39.675891,-105.202375 39.676088,-105.202103 39.676304,-105.201656 39.676498,-105.201343 39.676579,-105.200896 39.676647,-105.200193 39.676599,-105.199873 39.676636,-105.199642 39.676676,-105.199416 39.676776,-105.199149 39.67692,-105.198906 39.67718,-105.198767 39.677472,-105.198612 39.677975,-105.198579 39.678419,-105.198597 39.678823,-105.19854 39.679128)))",POINT(-105.197858841386 39.67404431696),080590098453019,7,7,5,2,5,1,3,1,5,4,0,4,1,0,1
19,"MULTIPOLYGON(((-105.311716 39.569941,-105.311785 39.569992,-105.312009 39.570154,-105.312199 39.570414,-105.312517 39.570826,-105.312333 39.570943,-105.312063 39.571133,-105.311711 39.57139,-105.311574 39.571434,-105.311467 39.571444,-105.311294 39.571365,-105.31113 39.571232,-105.311009 39.571119,-105.310867 39.57106,-105.310774 39.571062,-105.310717 39.571064,-105.310558 39.571151,-105.310447 39.571297,-105.310366 39.571424,-105.310131 39.571881,-105.31002 39.572051,-105.30987 39.572187,-105.309677 39.572304,-105.309458 39.572378,-105.3092 39.572369,-105.308875 39.572306,-105.308673 39.572147,-105.308506 39.571963,-105.308393 39.571745,-105.308321 39.571541,-105.308275 39.571244,-105.308224 39.570977,-105.308161 39.570811,-105.30799 39.570655,-105.307468 39.570329,-105.307179 39.570114,-105.307025 39.569962,-105.306594 39.569637,-105.306504 39.569506,-105.306503 39.569411,-105.306503 39.569371,-105.306543 39.56926,-105.306917 39.568733,-105.306947 39.568497,-105.306878 39.568102,-105.306832 39.567884,-105.306839 39.567824,-105.306854 39.567687,-105.307045 39.567444,-105.307223 39.567273,-105.307563 39.567044,-105.307826 39.566884,-105.307937 39.566769,-105.307986 39.566662,-105.307953 39.566364,-105.307966 39.566139,-105.308046 39.566031,-105.30826 39.565899,-105.308497 39.565791,-105.30868 39.565649,-105.308858 39.565461,-105.308991 39.565253,-105.309218 39.564958,-105.309374 39.564725,-105.309471 39.5645,-105.309527 39.564008,-105.309561 39.563578,-105.309705 39.562806,-105.309762 39.562546,-105.309801 39.562168,-105.309894 39.561981,-105.310179 39.561582,-105.310232 39.561422,-105.310222 39.561225,-105.310145 39.561055,-105.309974 39.560872,-105.309817 39.560724,-105.30974 39.560668,-105.309798 39.560646,-105.311343 39.560045,-105.311483 39.559991,-105.311608 39.560186,-105.311833 39.56046,-105.312035 39.560608,-105.312242 39.560725,-105.312567 39.560873,-105.313183 39.561144,-105.31309 39.561443,-105.313036 39.561683,-105.313032 39.561861,-105.313092 39.562039,-105.313222 39.562245,-105.313408 39.56247,-105.313482 39.562644,-105.313492 39.562872,-105.31348 39.563122,-105.313453 39.563379,-105.313382 39.563878,-105.313338 39.564375,-105.313252 39.564775,-105.313194 39.565173,-105.313073 39.565819,-105.313009 39.566033,-105.312945 39.566186,-105.31279 39.566476,-105.3123 39.567258,-105.311985 39.567779,-105.311839 39.5681,-105.311739 39.568411,-105.311601 39.56889,-105.311594 39.568914,-105.311549 39.5692,-105.311518 39.569553,-105.31151 39.569692,-105.311556 39.569788,-105.311681 39.569916,-105.311716 39.569941)))",POINT(-105.310385264823 39.5664839643278),080590120321004,34,34,33,1,33,20,10,3,33,30,10,20,3,1,2
