,block_state_geography_2010.geom,block_state_geography_2010_centroid,block_state_housingoccupancytenure_2010.geoid10,block_state_housingoccupancytenure_2010.h00010001,block_state_housingoccupancytenure_2010.h0030001,block_state_housingoccupancytenure_2010.h0030002,block_state_housingoccupancytenure_2010.h0030003,block_state_housingoccupancytenure_2010.h0040001,block_state_housingoccupancytenure_2010.h0040002,block_state_housingoccupancytenure_2010.h0040003,block_state_housingoccupancytenure_2010.h0040004,block_state_housingoccupancytenure_2010.h0190001,block_state_housingoccupancytenure_2010.h0190002,block_state_housingoccupancytenure_2010.h0190003,block_state_housingoccupancytenure_2010.h0190004,block_state_housingoccupancytenure_2010.h0190005,block_state_housingoccupancytenure_2010.h0190006,block_state_housingoccupancytenure_2010.h0190007
20,"MULTIPOLYGON(((-105.098996 39.898246,-105.097013 39.898582,-105.096771 39.898338,-105.096038 39.898432,-105.096015 39.897686,-105.096169 39.897633,-105.09639 39.897606,-105.096604 39.8976,-105.096996 39.897704,-105.097274 39.89783,-105.097688 39.898028,-105.098387 39.898215,-105.098872 39.898231,-105.098996 39.898246)))",POINT(-105.097028097295 39.8981132608143),080590605001033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,"MULTIPOLYGON(((-105.185611 39.807892,-105.184807 39.807652,-105.18471 39.807581,-105.18465 39.80747,-105.18465 39.80734,-105.184702 39.807241,-105.184789 39.807179,-105.185131 39.807007,-105.185411 39.806827,-105.185767 39.806461,-105.185887 39.80635,-105.185996 39.806272,-105.18612 39.806247,-105.186266 39.80626,-105.186386 39.806315,-105.186535 39.806469,-105.186664 39.806695,-105.186812 39.807037,-105.186866 39.807228,-105.186882 39.807413,-105.186737 39.807431,-105.186449 39.807498,-105.186095 39.80761,-105.185795 39.807743,-105.185611 39.807892)))",POINT(-105.185839045978 39.8071271876503),080590098422027,17,17,16,1,16,16,0,0,16,16,10,6,0,0,0
22,"MULTIPOLYGON(((-105.147357 39.812679,-105.147358 39.812679,-105.148699 39.812665,-105.148728 39.813241,-105.148726 39.813989,-105.148709 39.814442,-105.148797 39.814684,-105.14864 39.814752,-105.148286 39.814784,-105.147802 39.81476,-105.147775 39.81544,-105.147777 39.815747,-105.14784 39.815856,-105.147932 39.815956,-105.148029 39.816019,-105.148313 39.81611,-105.14863 39.816139,-105.149298 39.816131,-105.149784 39.816103,-105.150397 39.816053,-105.150805 39.816009,-105.151625 39.815934,-105.151623 39.815164,-105.152295 39.815171,-105.152294 39.815873,-105.152291 39.816216,-105.152333 39.816485,-105.152338 39.816514,-105.152427 39.816693,-105.152531 39.816879,-105.152788 39.81719,-105.152874 39.817295,-105.15339 39.817895,-105.153642 39.818217,-105.153556 39.818262,-105.153415 39.818337,-105.153166 39.818405,-105.152728 39.818484,-105.151709 39.818667,-105.151329 39.818716,-105.151031 39.818672,-105.150748 39.818583,-105.150999 39.818191,-105.151124 39.817953,-105.151133 39.817813,-105.151126 39.817675,-105.15101 39.817477,-105.150758 39.817131,-105.150613 39.816968,-105.150462 39.816853,-105.150296 39.8168,-105.15012 39.816788,-105.149602 39.816798,-105.148821 39.816826,-105.148303 39.816834,-105.148127 39.816851,-105.147992 39.816909,-105.147848 39.817002,-105.147788 39.81713,-105.147782 39.817258,-105.147778 39.817933,-105.14731 39.817929,-105.147159 39.817929,-105.147147 39.816378,-105.147118 39.81268,-105.147357 39.812679)))",POINT(-105.1497881318 39.8160896202488),080590098401005,81,81,80,1,80,62,12,6,80,74,28,46,6,4,2
23,"MULTIPOLYGON(((-105.082077 39.592107,-105.081456 39.591882,-105.081327 39.591812,-105.081034 39.59174,-105.080871 39.591709,-105.080462 39.591523,-105.080282 39.591384,-105.080156 39.591241,-105.079836 39.590767,-105.080722 39.590468,-105.080989 39.590373,-105.081274 39.590298,-105.081615 39.590299,-105.082077 39.5903,-105.082528 39.590301,-105.082514 39.591172,-105.08293 39.591177,-105.083103 39.591168,-105.083251 39.591097,-105.083764 39.590695,-105.084138 39.590635,-105.08486 39.590655,-105.085068 39.590715,-105.085295 39.590825,-105.085403 39.590923,-105.085505 39.591061,-105.085568 39.591263,-105.085553 39.591447,-105.084736 39.591455,-105.084291 39.591452,-105.084084 39.591519,-105.083944 39.591647,-105.083916 39.591796,-105.08393 39.592134,-105.083603 39.592127,-105.083408 39.592182,-105.083049 39.59236,-105.082805 39.592463,-105.082656 39.592441,-105.082564 39.592381,-105.082077 39.59217,-105.082077 39.592107)))",POINT(-105.082546786214 39.5912596477044),080590120525012,64,64,64,0,64,45,13,6,64,58,21,37,6,1,5
24,"MULTIPOLYGON(((-105.215877 39.746082,-105.215115 39.745261,-105.216158 39.744674,-105.216932 39.745484,-105.215877 39.746082)))",POINT(-105.216021095046 39.7453763624263),080590100003019,10,10,10,0,10,6,0,4,10,6,2,4,4,0,4
25,"MULTIPOLYGON(((-105.064001 39.851328,-105.064041 39.851556,-105.064053 39.851628,-105.064137 39.851955,-105.064327 39.852405,-105.06435 39.852444,-105.064591 39.85286,-105.064801 39.853145,-105.065409 39.853719,-105.06485 39.854099,-105.064423 39.854296,-105.064267 39.85433,-105.064238 39.854329,-105.064075 39.854321,-105.063854 39.854292,-105.063657 39.854236,-105.063513 39.854155,-105.063326 39.853981,-105.063225 39.853778,-105.063185 39.853551,-105.063165 39.852502,-105.063204 39.851628,-105.063223 39.851496,-105.063269 39.851401,-105.063407 39.851366,-105.064001 39.851328)))",POINT(-105.063973665559 39.8530225209782),080590098332006,36,36,36,0,36,22,11,3,36,33,10,23,3,3,0
26,"MULTIPOLYGON(((-105.103019 39.791946,-105.103969 39.791937,-105.103961 39.792268,-105.103955 39.79255,-105.103899 39.792724,-105.103856 39.792788,-105.103703 39.792893,-105.103583 39.792926,-105.103035 39.792997,-105.103009 39.792662,-105.103019 39.791946)))",POINT(-105.103466356544 39.7924265713532),080590104023003,9,9,8,1,8,5,2,1,8,7,1,6,1,1,0
27,"MULTIPOLYGON(((-105.085814 39.873941,-105.085821 39.874327,-105.085816 39.874612,-105.085814 39.874742,-105.085844 39.874856,-105.085882 39.874948,-105.086014 39.87503,-105.086112 39.875073,-105.086269 39.875104,-105.086315 39.875108,-105.086415 39.875118,-105.087359 39.875114,-105.087641 39.875125,-105.087744 39.875154,-105.087904 39.875179,-105.08813 39.875255,-105.088341 39.875287,-105.088576 39.875301,-105.089543 39.875217,-105.089886 39.875177,-105.090116 39.875101,-105.090228 39.875044,-105.090311 39.87496,-105.090382 39.874809,-105.090412 39.874556,-105.090374 39.874146,-105.090328 39.873873,-105.090234 39.873728,-105.09006 39.87349,-105.089094 39.872393,-105.088637 39.871969,-105.088418 39.871801,-105.088256 39.871714,-105.088064 39.871621,-105.087871 39.871569,-105.087702 39.871529,-105.087383 39.87152,-105.084796 39.871548,-105.081543 39.871547,-105.081543 39.871184,-105.088272 39.871104,-105.088764 39.87154,-105.090985 39.873095,-105.091079 39.875479,-105.090954 39.875456,-105.090776 39.875434,-105.090541 39.875538,-105.090306 39.875939,-105.090178 39.87601,-105.090021 39.876011,-105.089785 39.87589,-105.089215 39.87572,-105.088937 39.875698,-105.088431 39.875736,-105.088082 39.87567,-105.087875 39.875555,-105.087547 39.875434,-105.087297 39.875451,-105.086855 39.875632,-105.086642 39.875665,-105.086021 39.875572,-105.085859 39.875523,-105.085786 39.875501,-105.085544 39.87538,-105.08528 39.875314,-105.085066 39.875308,-105.084874 39.875237,-105.084838 39.875166,-105.084921 39.874946,-105.085073 39.874546,-105.08503 39.87432,-105.084888 39.8742,-105.084731 39.874156,-105.084631 39.87415,-105.084545 39.874172,-105.084396 39.874271,-105.08426 39.874403,-105.084161 39.874557,-105.084075 39.874623,-105.083918 39.8747,-105.083797 39.874826,-105.083719 39.874853,-105.083562 39.874837,-105.083405 39.874793,-105.083327 39.87481,-105.083241 39.874864,-105.08307 39.87493,-105.082899 39.874941,-105.08255 39.874804,-105.082471 39.874799,-105.082386 39.874744,-105.08173 39.874777,-105.081677 39.874777,-105.081839 39.87409,-105.081789 39.873956,-105.082507 39.873952,-105.085814 39.873941)))",POINT(-105.08677925846 39.8736392749456),080590098281022,26,26,26,0,26,19,6,1,26,25,4,21,1,1,0
28,"MULTIPOLYGON(((-105.088274 39.691181,-105.08833 39.691203,-105.088415 39.691209,-105.088985 39.691219,-105.089368 39.691223,-105.089692 39.691266,-105.089995 39.691351,-105.090411 39.691522,-105.089937 39.69214,-105.089678 39.692013,-105.089451 39.69196,-105.089324 39.691939,-105.088303 39.691929,-105.08796 39.691916,-105.087857 39.691885,-105.087493 39.691612,-105.087346 39.691472,-105.087246 39.691329,-105.087164 39.691125,-105.087147 39.691017,-105.087155 39.689436,-105.088067 39.689434,-105.088072 39.690998,-105.088081 39.691053,-105.088138 39.691108,-105.088274 39.691181)))",POINT(-105.088289033778 39.6910121951791),080590117021011,36,36,35,1,35,22,10,3,35,32,4,28,3,2,1
29,"MULTIPOLYGON(((-105.216772 39.750489,-105.217824 39.74992,-105.218901 39.74933,-105.219994 39.748733,-105.220705 39.749535,-105.221488 39.750361,-105.22044 39.750935,-105.220334 39.750991,-105.21936 39.751505,-105.218658 39.750695,-105.217539 39.751291,-105.216772 39.750489)))",POINT(-105.219272147766 39.7502202012689),080590100002028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,"MULTIPOLYGON(((-105.095629 39.689415,-105.096581 39.689418,-105.097473 39.689407,-105.097246 39.690387,-105.097144 39.691061,-105.096656 39.691057,-105.096393 39.691162,-105.096054 39.691307,-105.095825 39.69103,-105.095635 39.690898,-105.095217 39.690727,-105.094947 39.690588,-105.094794 39.690469,-105.094698 39.690284,-105.094676 39.689422,-105.095629 39.689415)))",POINT(-105.096084833745 39.6901823059757),080590117024019,36,36,36,0,36,23,10,3,36,33,11,22,3,1,2
31,"MULTIPOLYGON(((-105.230182 39.579759,-105.230443 39.57975,-105.23056 39.579827,-105.230582 39.579934,-105.230538 39.580076,-105.230406 39.580192,-105.230156 39.580244,-105.229811 39.580215,-105.229623 39.580258,-105.22949 39.580375,-105.229429 39.580491,-105.229441 39.580873,-105.22942 39.581105,-105.229293 39.581299,-105.229132 39.581415,-105.228655 39.5817,-105.22849 39.581902,-105.228407 39.582066,-105.228366 39.582174,-105.228346 39.582225,-105.228302 39.582401,-105.228321 39.582524,-105.22839 39.582643,-105.227056 39.583349,-105.225382 39.584228,-105.223147 39.585415,-105.222599 39.585758,-105.22208 39.586157,-105.22168 39.586575,-105.221313 39.586994,-105.221106 39.587361,-105.220919 39.587803,-105.220802 39.588259,-105.220779 39.588831,-105.220862 39.589476,-105.221096 39.590101,-105.22143 39.590682,-105.221727 39.591108,-105.221992 39.591445,-105.221711 39.591446,-105.221585 39.591437,-105.221384 39.591446,-105.221166 39.591482,-105.220982 39.591536,-105.220753 39.59167,-105.220403 39.591884,-105.219847 39.592249,-105.219481 39.592467,-105.219251 39.592579,-105.218985 39.591966,-105.218852 39.591682,-105.218753 39.591499,-105.218649 39.591152,-105.218589 39.590863,-105.218559 39.590677,-105.218671 39.590346,-105.218729 39.590098,-105.218709 39.589961,-105.218472 39.589494,-105.218185 39.588985,-105.217992 39.588582,-105.217937 39.588346,-105.217926 39.587886,-105.217906 39.587605,-105.217787 39.587324,-105.217589 39.586974,-105.21749 39.586776,-105.217435 39.586552,-105.217459 39.586229,-105.217654 39.585875,-105.217924 39.58557,-105.218228 39.585288,-105.218375 39.585086,-105.218428 39.584957,-105.218501 39.584781,-105.218574 39.58434,-105.218646 39.58394,-105.218734 39.583609,-105.218806 39.583301,-105.219017 39.583023,-105.219203 39.582848,-105.219851 39.582523,-105.219998 39.582367,-105.220027 39.582196,-105.219893 39.581861,-105.219695 39.581394,-105.219576 39.581006,-105.219552 39.580924,-105.219569 39.580881,-105.219611 39.580759,-105.219597 39.580616,-105.219483 39.580281,-105.219334 39.5801,-105.21917 39.579957,-105.218837 39.579727,-105.218716 39.579568,-105.218623 39.579095,-105.218581 39.578815,-105.218595 39.578365,-105.218296 39.577596,-105.218175 39.577332,-105.218005 39.577096,-105.217728 39.576805,-105.2177 39.57669,-105.217735 39.576464,-105.217671 39.576365,-105.217607 39.576223,-105.217657 39.576102,-105.217777 39.575838,-105.217784 39.575629,-105.217756 39.574987,-105.217685 39.5748,-105.217578 39.574635,-105.217472 39.574531,-105.217365 39.574487,-105.217235 39.574455,-105.217229 39.574164,-105.217223 39.573761,-105.217269 39.572797,-105.217317 39.572429,-105.21735 39.572003,-105.217344 39.571574,-105.217348 39.571174,-105.217426 39.570984,-105.217656 39.570786,-105.217887 39.570663,-105.218265 39.570454,-105.218549 39.57027,-105.218863 39.56995,-105.219267 39.570243,-105.219483 39.570371,-105.219685 39.570451,-105.219905 39.570468,-105.2201 39.570459,-105.220089 39.570687,-105.220016 39.570842,-105.219854 39.570896,-105.219529 39.570832,-105.219264 39.570828,-105.219131 39.570901,-105.218798 39.571308,-105.21871 39.571518,-105.218696 39.571727,-105.218815 39.57186,-105.219011 39.571951,-105.219184 39.571939,-105.219557 39.571855,-105.21995 39.571755,-105.220245 39.571812,-105.220447 39.571933,-105.220678 39.572058,-105.220875 39.57213,-105.221283 39.57216,-105.221553 39.57214,-105.22171 39.571988,-105.221729 39.571824,-105.221639 39.571387,-105.221742 39.571234,-105.221997 39.571108,-105.222311 39.570967,-105.222419 39.570864,-105.222536 39.570761,-105.222664 39.570791,-105.222758 39.570818,-105.22296 39.570867,-105.223993 39.57115,-105.224366 39.57121,-105.225104 39.571304,-105.22561 39.571364,-105.226589 39.571506,-105.226884 39.571544,-105.227161 39.571517,-105.22747 39.571445,-105.22823 39.5713,-105.229159 39.571052,-105.229482 39.570971,-105.229762 39.570945,-105.230118 39.570951,-105.230981 39.570994,-105.231527 39.571048,-105.231834 39.571088,-105.231642 39.571233,-105.231298 39.571316,-105.231004 39.571364,-105.230771 39.571497,-105.23024 39.572066,-105.230196 39.572255,-105.230313 39.57253,-105.230486 39.572753,-105.230587 39.572899,-105.230626 39.573019,-105.230756 39.573784,-105.230757 39.57402,-105.23068 39.574141,-105.23022 39.57452,-105.230054 39.574701,-105.229955 39.574911,-105.229917 39.575238,-105.229907 39.575492,-105.229874 39.575676,-105.229797 39.575801,-105.229686 39.575849,-105.229464 39.575836,-105.229052 39.575713,-105.228841 39.575691,-105.228186 39.575865,-105.227654 39.575995,-105.227382 39.57609,-105.227171 39.576193,-105.226545 39.576474,-105.226101 39.576634,-105.225801 39.576776,-105.225596 39.576893,-105.225297 39.577117,-105.224959 39.577384,-105.224322 39.577905,-105.223851 39.578314,-105.223802 39.578512,-105.22383 39.578619,-105.223897 39.578731,-105.224142 39.578975,-105.224298 39.579096,-105.225116 39.579601,-105.225483 39.579768,-105.225783 39.57981,-105.2261 39.579732,-105.226499 39.579478,-105.226804 39.579336,-105.227192 39.579214,-105.227448 39.579171,-105.227642 39.579184,-105.227931 39.579312,-105.228337 39.579586,-105.228727 39.579766,-105.229032 39.57983,-105.229582 39.579842,-105.230182 39.579759)))",POINT(-105.22290210141 39.5788728661987),080590120332002,64,64,58,6,58,43,10,5,58,53,12,41,5,2,3
32,"MULTIPOLYGON(((-105.069193 39.818268,-105.070113 39.818279,-105.070119 39.818997,-105.070112 39.82008,-105.069192 39.820078,-105.069193 39.818268)))",POINT(-105.069653716805 39.8191760474391),080590102122002,16,16,16,0,16,10,3,3,16,13,3,10,3,2,1
33,"MULTIPOLYGON(((-105.071141 39.765721,-105.072044 39.765735,-105.07206 39.766976,-105.070202 39.766974,-105.070196 39.76636,-105.070289 39.766252,-105.070426 39.766204,-105.070872 39.766196,-105.071001 39.766164,-105.071124 39.766067,-105.071141 39.765721)))",POINT(-105.071239166702 39.7664431262561),080590107011004,14,14,13,1,13,7,6,0,13,13,3,10,0,0,0
34,"MULTIPOLYGON(((-105.138374 39.85455,-105.138371 39.854956,-105.13857 39.856001,-105.137765 39.855718,-105.138262 39.853649,-105.138379 39.853675,-105.138374 39.85455)))",POINT(-105.138194215246 39.855057614324),080590098152006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,"MULTIPOLYGON(((-105.109943 39.566254,-105.109985 39.566752,-105.110046 39.567093,-105.110053 39.5673,-105.110218 39.569582,-105.107742 39.569584,-105.107724 39.568164,-105.107687 39.567915,-105.107605 39.567631,-105.10737 39.567287,-105.107265 39.566918,-105.107255 39.566257,-105.109943 39.566254)))",POINT(-105.108818368503 39.5678783736577),080590120574001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,"MULTIPOLYGON(((-105.071991 39.821104,-105.071982 39.820082,-105.072993 39.820068,-105.073941 39.820079,-105.074827 39.820089,-105.074813 39.821382,-105.074812 39.822981,-105.073927 39.822986,-105.073926 39.822304,-105.073896 39.821139,-105.071991 39.821104)))",POINT(-105.073750796669 39.821120595144),080590102082016,38,38,37,1,37,26,6,5,37,32,14,18,5,1,4
37,"MULTIPOLYGON(((-105.261881 39.821698,-105.261946 39.821562,-105.261988 39.821386,-105.261991 39.821216,-105.261918 39.821018,-105.261766 39.82079,-105.261559 39.820562,-105.261389 39.820412,-105.261229 39.820254,-105.261215 39.82024,-105.260833 39.81985,-105.260685 39.8197,-105.260529 39.819589,-105.26037 39.819509,-105.260275 39.819492,-105.260309 39.819446,-105.260324 39.819413,-105.260466 39.819501,-105.260715 39.819616,-105.260822 39.819693,-105.26142 39.820001,-105.261484 39.820012,-105.261734 39.820023,-105.262311 39.820018,-105.262645 39.820068,-105.262724 39.820123,-105.262809 39.820353,-105.262866 39.820425,-105.262987 39.820491,-105.263151 39.82059,-105.263314 39.820771,-105.263343 39.820908,-105.263293 39.821117,-105.263271 39.821287,-105.263314 39.821364,-105.263399 39.821414,-105.263506 39.821535,-105.263542 39.82187,-105.263698 39.822276,-105.263776 39.822639,-105.263762 39.822803,-105.263676 39.822974,-105.263676 39.823056,-105.263761 39.82321,-105.263882 39.823375,-105.263832 39.823479,-105.263767 39.8238,-105.263704 39.824111,-105.263739 39.824253,-105.264045 39.824539,-105.264109 39.824655,-105.26428 39.824803,-105.264351 39.824935,-105.264522 39.825116,-105.264622 39.825248,-105.264686 39.825517,-105.264686 39.825545,-105.264764 39.825638,-105.264864 39.825797,-105.264807 39.826077,-105.26487 39.82627,-105.265241 39.826709,-105.265312 39.82694,-105.265475 39.827209,-105.265682 39.827319,-105.265881 39.827511,-105.266009 39.82777,-105.266109 39.828319,-105.266301 39.828445,-105.266522 39.828643,-105.266628 39.828835,-105.266635 39.82894,-105.266536 39.828984,-105.266249 39.828904,-105.26609 39.828786,-105.265752 39.828477,-105.265705 39.828398,-105.265777 39.828231,-105.265864 39.828031,-105.264632 39.826183,-105.264273 39.825861,-105.264205 39.82581,-105.264201 39.825698,-105.264152 39.825588,-105.264066 39.825506,-105.264002 39.825259,-105.264009 39.824891,-105.263931 39.824764,-105.263817 39.824698,-105.26339 39.824671,-105.263119 39.824603,-105.263041 39.824583,-105.26292 39.824511,-105.262692 39.824226,-105.262592 39.824176,-105.262343 39.823824,-105.262322 39.823544,-105.262394 39.823303,-105.262436 39.823165,-105.262515 39.823083,-105.262586 39.822567,-105.262551 39.822358,-105.262046 39.821858,-105.261916 39.821734,-105.261881 39.821698)))",POINT(-105.263253320457 39.823083412304),080590098082049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,"MULTIPOLYGON(((-105.086224 39.692115,-105.085311 39.692112,-105.085302 39.689436,-105.086216 39.689438,-105.086224 39.692115)))",POINT(-105.085763277742 39.6907750051389),080590117021009,24,24,23,1,23,17,3,3,23,20,13,7,3,1,2
39,"MULTIPOLYGON(((-105.155515 39.730065,-105.155356 39.730445,-105.155276 39.730604,-105.155282 39.730047,-105.155515 39.730065)))",POINT(-105.155358601935 39.730243696892),080590109011010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,"MULTIPOLYGON(((-105.10029 39.687572,-105.099325 39.687574,-105.099304 39.685769,-105.10028 39.685757,-105.10029 39.687572)))",POINT(-105.099800178497 39.6866662740002),080590117023010,16,16,14,2,14,12,0,2,14,12,7,5,2,1,1
41,"MULTIPOLYGON(((-102.775734 38.480016,-102.776385 38.480019,-102.776378 38.480984,-102.775751 38.480985,-102.775734 38.480016)))",POINT(-102.776061766162 38.4804979756382),080619601002024,4,4,3,1,3,0,3,0,3,3,0,3,0,0,0
42,"MULTIPOLYGON(((-102.534182 38.333771,-102.534204 38.334084,-102.53417 38.334457,-102.534158 38.334973,-102.534102 38.335164,-102.534074 38.335028,-102.534024 38.334452,-102.53389 38.334167,-102.533834 38.333964,-102.533812 38.333563,-102.533769 38.333393,-102.533636 38.33324,-102.533259 38.332949,-102.533126 38.332813,-102.532979 38.332588,-102.532944 38.332434,-102.532936 38.332185,-102.533174 38.332456,-102.533349 38.332757,-102.533475 38.332938,-102.533699 38.333097,-102.533916 38.333321,-102.534091 38.333535,-102.534182 38.333771)))",POINT(-102.533752915861 38.333568792783),080619601001384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,"MULTIPOLYGON(((-103.342472 38.338161,-103.34232 38.33871,-103.338958 38.346086,-103.336896 38.350524,-103.334085 38.356575,-103.332979 38.358923,-103.332858 38.359161,-103.330721 38.363372,-103.329203 38.363382,-103.312977 38.363303,-103.309858 38.363302,-103.298728 38.363281,-103.290145 38.363252,-103.284323 38.363228,-103.282504 38.363238,-103.274125 38.36322,-103.266979 38.363196,-103.264049 38.363194,-103.259438 38.363389,-103.22918 38.364773,-103.226505 38.364844,-103.226471 38.36306,-103.226421 38.358543,-103.226409 38.356868,-103.226344 38.351401,-103.226627 38.340856,-103.226751 38.336988,-103.226755 38.336656,-103.226821 38.322135,-103.227937 38.322117,-103.240145 38.32192,-103.241021 38.321906,-103.244643 38.321847,-103.251823 38.321688,-103.253691 38.321647,-103.255716 38.321602,-103.259018 38.321525,-103.261739 38.321453,-103.263033 38.321431,-103.263715 38.321452,-103.264323 38.321511,-103.274854 38.322877,-103.27646 38.323089,-103.280554 38.32362,-103.281766 38.323767,-103.294451 38.32372,-103.300042 38.323691,-103.307904 38.323692,-103.309141 38.323692,-103.314644 38.323688,-103.317348 38.323695,-103.32047 38.323698,-103.325913 38.323702,-103.334246 38.323693,-103.33812 38.323699,-103.343634 38.323696,-103.346125 38.323713,-103.344357 38.332863,-103.344179 38.33359,-103.343997 38.334135,-103.343515 38.335212,-103.34346 38.335333,-103.343056 38.336208,-103.34285 38.336742,-103.342472 38.338161)))",POINT(-103.282315800721 38.3427713876594),080619601001153,3,3,2,1,2,1,1,0,2,2,0,2,0,0,0
44,"MULTIPOLYGON(((-102.509978 38.439197,-102.509983 38.439271,-102.509963 38.439339,-102.509923 38.439403,-102.50978 38.43959,-102.509728 38.439649,-102.50954 38.439808,-102.509472 38.439856,-102.509399 38.439898,-102.50916 38.440008,-102.509087 38.440051,-102.50896 38.440153,-102.50861 38.440488,-102.508407 38.440636,-102.508348 38.440689,-102.508309 38.440754,-102.508281 38.440824,-102.508239 38.440887,-102.508184 38.440945,-102.508123 38.441,-102.508057 38.44105,-102.507985 38.441095,-102.507594 38.441285,-102.507522 38.441328,-102.507458 38.441379,-102.507353 38.441499,-102.507297 38.441556,-102.50723 38.441604,-102.507158 38.441649,-102.506926 38.441767,-102.506688 38.441875,-102.506524 38.44194,-102.506356 38.441996,-102.506011 38.442093,-102.505927 38.442125,-102.505841 38.442147,-102.505748 38.442141,-102.505667 38.442108,-102.505519 38.442019,-102.505442 38.441983,-102.505351 38.44198,-102.50526 38.441997,-102.505086 38.442049,-102.505 38.442054,-102.504916 38.442016,-102.504829 38.442009,-102.504739 38.442029,-102.504572 38.44209,-102.504088 38.442296,-102.503924 38.44236,-102.503838 38.442386,-102.503656 38.442417,-102.503568 38.442436,-102.503488 38.442467,-102.503424 38.442516,-102.503367 38.442575,-102.503306 38.44263,-102.50323 38.44267,-102.50315 38.442706,-102.502479 38.443084,-102.502249 38.443201,-102.502166 38.443232,-102.501992 38.443285,-102.501909 38.443314,-102.501831 38.443349,-102.501773 38.443403,-102.501726 38.443468,-102.501661 38.443517,-102.501501 38.443586,-102.501333 38.443648,-102.501173 38.443719,-102.501032 38.443809,-102.500833 38.443957,-102.500447 38.444268,-102.500109 38.444511,-102.500001 38.444549,-102.500001 38.444163,-102.500085 38.444085,-102.500253 38.443986,-102.500441 38.443854,-102.500584 38.443784,-102.500931 38.443631,-102.501285 38.443523,-102.501571 38.443379,-102.501773 38.443203,-102.502333 38.442778,-102.502549 38.442667,-102.502813 38.442564,-102.503106 38.442432,-102.503245 38.442344,-102.50344 38.442206,-102.503601 38.442129,-102.503789 38.442084,-102.5041 38.442047,-102.50432 38.441975,-102.504564 38.441814,-102.504801 38.44167,-102.505066 38.441675,-102.505402 38.441729,-102.505506 38.441729,-102.505785 38.441602,-102.505893 38.441528,-102.50613 38.441439,-102.506462 38.441355,-102.506655 38.441274,-102.506825 38.441177,-102.507279 38.441061,-102.507453 38.440983,-102.507714 38.440714,-102.507882 38.440594,-102.508088 38.4405,-102.508262 38.440383,-102.508506 38.440174,-102.508764 38.440069,-102.508882 38.439976,-102.508994 38.439838,-102.509105 38.439761,-102.509228 38.439688,-102.509502 38.439597,-102.509709 38.439453,-102.50983 38.439331,-102.509978 38.439197)))",POINT(-102.505278251359 38.4418870125971),080619601001242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,"MULTIPOLYGON(((-102.510227 38.438859,-102.51036 38.438874,-102.510444 38.438808,-102.510569 38.438649,-102.510642 38.438451,-102.510792 38.438341,-102.510974 38.438197,-102.511484 38.438277,-102.513231 38.43863,-102.513941 38.438804,-102.514728 38.439051,-102.515714 38.439351,-102.516416 38.439511,-102.517131 38.43963,-102.518066 38.439733,-102.518804 38.439772,-102.519439 38.43976,-102.520072 38.439698,-102.522397 38.439397,-102.527417 38.438703,-102.528202 38.438569,-102.528271 38.43899,-102.521814 38.439729,-102.519048 38.439916,-102.514836 38.439614,-102.512785 38.439254,-102.510117 38.439008,-102.510227 38.438859)))",POINT(-102.517674673263 38.4391394455765),080619601001393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,"MULTIPOLYGON(((-102.293078 38.463239,-102.298692 38.463159,-102.298729 38.464288,-102.303316 38.464216,-102.303335 38.465108,-102.298879 38.465654,-102.297236 38.465844,-102.296037 38.465939,-102.29407 38.465983,-102.293716 38.465992,-102.293733 38.465827,-102.293736 38.465739,-102.293739 38.465586,-102.293733 38.465556,-102.293716 38.465527,-102.293597 38.465392,-102.293502 38.465271,-102.293427 38.465157,-102.293296 38.464913,-102.293251 38.464657,-102.29324 38.464179,-102.293121 38.463636,-102.293075 38.463278,-102.293078 38.463239)))",POINT(-102.297284304979 38.4646002496599),080619601001322,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0
47,"MULTIPOLYGON(((-102.859316 38.513226,-102.861398 38.513216,-102.86436 38.513215,-102.869784 38.513205,-102.87282 38.513213,-102.877648 38.513215,-102.877647 38.513457,-102.877664 38.514189,-102.877693 38.519646,-102.877717 38.522259,-102.877726 38.527035,-102.877749 38.527702,-102.872876 38.527659,-102.859403 38.527681,-102.859343 38.519933,-102.859316 38.513226)))",POINT(-102.868526589674 38.520442509366),080619601001068,1,1,1,0,1,0,0,1,1,0,0,0,1,0,1
